"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","assistant-portal-ui/patient-photo.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","635","Assistant portal UI - sign in and store storage state - assistant_miller","Setup Assistant Portal UI Auth","Fri Sep 18 22:59:32 UTC 2026","passed","Fri Sep 18 22:59:32 UTC 2026","","assistant-portal-ui/setup/assistant-portal-auth-ui.setup.ts","",""
"","1","end2end-mobile/patient-mobile.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @playwright/test, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2","patient-portal-ui/verify-doctor-james-smith-is-listed-on-the-doctors-page.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:39 UTC 2026","passed","Fri Sep 18 22:59:39 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","470","Patient portal UI - home page - verify the signed-in patient landing page","Patient Portal UI","Fri Sep 18 22:59:44 UTC 2026","passed","Fri Sep 18 22:59:44 UTC 2026","","patient-portal-ui/patient-portal-pages.test.ts","",""
"","5","Interaction group ui should not depend on other groups","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","No unallowed cross-interaction dependencies","sparta-framework/interaction-architecture.test.ts","",""
"","742","Patient portal UI - sign in and store storage state - patient_taylor","Setup Patient Portal UI Auth","Fri Sep 18 22:59:27 UTC 2026","passed","Fri Sep 18 22:59:28 UTC 2026","","patient-portal-ui/setup/patient-portal-auth-ui.setup.ts","",""
"","392","should verify doctor James Smith is listed on the doctors page","Patient Portal UI","Fri Sep 18 22:59:47 UTC 2026","passed","Fri Sep 18 22:59:47 UTC 2026","verify-doctor-james-smith-is-listed-on-the-doctors-page","patient-portal-ui/verify-doctor-james-smith-is-listed-on-the-doctors-page.test.ts","",""
"","1","assistant-portal-ui/appointments.test.ts","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","test files should not use @cerios/playwright-expectly, but SPARTA architecture","sparta-framework/test-files.test.ts","",""
"","2","All typescriptfiles filenames must be kebab-case","Sparta Framework Tests","Fri Sep 18 22:59:38 UTC 2026","passed","Fri Sep 18 22:59:38 UTC 2026","","sparta-framework/sparta-files.test.ts","",""
